Florida Cities by Population Rank,City,Population
1,Jacksonville,"867,313"
2,Miami,"443,007"
3,Tampa,"368,087"
4,Orlando,"269,414"
5,St. Petersburg,"256,031"
6,Hialeah,"237,523"
7,Tallahassee,"188,463"
8,Port St. Lucie,"178,778"
9,Fort Lauderdale,"177,175"
10,Cape Coral,"173,679"
11,Pembroke Pines,"166,530"
12,Hollywood,"149,750"
13,Miramar,"136,415"
14,Coral Springs,"130,110"
15,Gainesville,"129,394"
16,Lehigh Acres,"116,849"
17,Miami Gardens,"113,187"
18,Brandon,"113,124"
19,Clearwater,"112,794"
20,Palm Bay,"107,802"
21,Pompano Beach,"107,542"
22,West Palm Beach,"106,805"
23,Spring Hill,"104,722"
24,Lakeland,"104,165"
25,Davie,"101,543"
26,Boca Raton,"93,964"
27,Sunrise,"92,272"
28,Miami Beach,"92,187"
29,Plantation,"92,126"
30,Riverview,"88,191"
31,Alafaya,"88,025"
32,Deltona,"88,005"
33,Town 'n' Country,"83,879"
34,Largo,"82,433"
35,Palm Coast,"82,356"
36,Melbourne,"79,640"
37,Deerfield Beach,"79,468"
38,Kendall,"75,123"
39,The Villages,"74,618"
40,Boynton Beach,"74,483"
41,Fort Myers,"73,712"
42,Pine Hills,"73,444"
43,Lauderhill,"70,963"
44,Weston,"69,802"
45,Kissimmee,"68,176"
46,Homestead,"67,354"
47,Poinciana,"66,465"
48,Delray Beach,"66,453"
49,Daytona Beach,"65,339"
50,Tamarac,"64,262"
51,Wellington,"62,796"
52,North Port,"62,542"
53,Jupiter,"62,373"
54,North Miami,"62,308"
55,Palm Harbor,"61,553"
56,Port Orange,"60,315"
57,Kendale Lakes,"59,812"
58,Port Charlotte,"59,654"
59,Fountainebleau,"59,255"
60,Coconut Creek,"59,154"
61,The Hammocks,"58,976"
62,Tamiami,"58,250"
63,Sanford,"57,979"
64,Ocala,"57,812"
65,Margate,"57,045"
66,Doral,"56,276"
67,Sarasota,"55,103"
68,Bradenton,"53,654"
69,Wesley Chapel,"53,414"
70,Palm Beach Gardens,"53,119"
71,Pensacola,"52,689"
72,Bonita Springs,"51,890"
73,Pinellas Park,"51,788"
74,Coral Gables,"50,909"
75,Country Club,"49,207"
76,Apopka,"48,682"
77,St. Cloud,"46,624"
78,Titusville,"44,984"
79,University,"44,979"
80,Cutler Bay,"44,721"
81,Fort Pierce,"44,248"
82,Oakland Park,"44,085"
83,North Miami Beach,"43,963"
84,North Lauderdale,"43,574"
85,Ocoee,"43,194"
86,Altamonte Springs,"43,084"
87,Ormond Beach,"41,238"
88,North Fort Myers,"40,916"
89,Winter Garden,"40,799"
90,Kendall West,"39,952"
91,Greenacres,"39,827"
92,South Miami Heights,"39,312"
93,Hallandale Beach,"39,285"
94,The Acreage,"38,845"
95,Winter Haven,"38,663"
96,Oviedo,"38,655"
97,Aventura,"37,875"
98,Royal Palm Beach,"37,665"
99,Valrico,"37,546"
100,Plant City,"37,459"
101,Four Corners,"37,439"
102,Lake Worth,"37,354"
103,Egypt Lake-Leto,"36,964"
104,Richmond West,"36,898"
105,Panama City,"36,661"
106,Merritt Island,"36,380"
107,Dunedin,"36,099"
108,Land O' Lakes,"35,995"
109,University CDP,"35,642"
110,Cooper City,"35,081"
111,Winter Springs,"35,050"
112,Carrollwood,"34,747"
113,Lauderdale Lakes,"34,744"
114,Riviera Beach,"34,093"
115,Navarre,"34,085"
116,Golden Glades,"34,062"
117,Meadow Woods,"33,688"
118,Buenaventura Lakes,"33,598"
119,Ferry Pass,"33,532"
120,West Little River,"32,433"
121,East Lake,"32,248"
122,Clermont,"32,217"
123,Fruit Cove,"31,873"
124,Dania Beach,"31,526"
125,Estero,"31,510"
126,Miami Lakes,"31,032"
127,Lakeside,"30,983"
128,Westchester,"30,516"
129,DeLand,"30,315"
130,Winter Park,"29,922"
131,Golden Gate,"29,841"
132,Lake Magdalene,"29,184"
133,Fleming Island,"29,163"
134,Parkland,"28,901"
135,Princeton,"28,201"
136,Leisure City,"27,389"
137,Casselberry,"27,087"
138,East Lake-Orient Park,"26,989"
139,University Park,"26,565"
140,Rockledge,"26,497"
141,Oakleaf Plantation,"26,315"
142,Bayonet Point,"26,126"
143,Citrus Park,"25,994"
144,Temple Terrace,"25,853"
145,Immokalee,"25,686"
146,Horizon West,"25,365"
147,Key West,"25,316"
148,New Smyrna Beach,"25,103"
149,South Bradenton,"24,935"
150,Coral Terrace,"24,723"
151,Tarpon Springs,"24,686"
152,Palmetto Bay,"24,679"
153,Palm City,"24,537"
154,Palm Springs,"24,455"
155,Oak Ridge,"24,368"
156,Keystone,"24,236"
157,Vero Beach South,"24,029"
158,Sebastian,"23,923"
159,Hialeah Gardens,"23,834"
160,Palm River-Clair Mel,"23,484"
161,Bloomingdale,"23,395"
162,Wekiwa Springs,"23,359"
163,Wright,"23,348"
164,Westchase,"23,287"
165,Crestview,"23,159"
166,The Crossings,"23,062"
167,Hunters Creek,"22,999"
168,Jacksonville Beach,"22,833"
169,Haines City,"22,826"
170,Brent,"22,761"
171,Northdale,"22,558"
172,Ives Estates,"22,460"
173,Pace,"22,232"
174,Venice,"22,192"
